"id","country_id","season","stage","date","hometeam_id","awayteam_id","home_goal","away_goal"
824,1,"2011/2012",17,"2011-12-10T00:00:00.000Z",9994,9985,1,1
825,1,"2011/2012",17,"2011-12-10T00:00:00.000Z",8571,10001,1,0
826,1,"2011/2012",17,"2011-12-09T00:00:00.000Z",8203,8635,2,1
827,1,"2011/2012",17,"2011-12-10T00:00:00.000Z",9998,9984,0,2
828,1,"2011/2012",17,"2011-12-10T00:00:00.000Z",9991,9993,0,1
829,1,"2011/2012",18,"2011-12-18T00:00:00.000Z",8635,9994,3,2
830,1,"2011/2012",18,"2011-12-18T00:00:00.000Z",9985,9987,0,0
831,1,"2011/2012",18,"2011-12-17T00:00:00.000Z",9997,8203,0,0
832,1,"2011/2012",18,"2011-12-17T00:00:00.000Z",10000,9998,2,3
833,1,"2011/2012",18,"2011-12-18T00:00:00.000Z",1773,8342,3,1
834,1,"2011/2012",18,"2011-12-17T00:00:00.000Z",9989,8571,2,0
835,1,"2011/2012",18,"2011-12-17T00:00:00.000Z",10001,9993,3,1
836,1,"2011/2012",18,"2011-12-18T00:00:00.000Z",9984,9991,0,1
837,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",8342,10000,1,0
838,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",9987,9984,4,2
839,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",9991,10001,3,1
840,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",9993,9989,0,0
841,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",9994,9997,0,0
842,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",8571,9985,2,0
843,1,"2011/2012",19,"2011-12-26T00:00:00.000Z",8203,1773,2,2
844,1,"2011/2012",19,"2011-12-27T00:00:00.000Z",9998,8635,1,1
845,1,"2011/2012",2,"2011-08-05T00:00:00.000Z",8635,8203,3,1
846,1,"2011/2012",2,"2011-08-07T00:00:00.000Z",9985,9994,3,1
847,1,"2011/2012",2,"2011-08-06T00:00:00.000Z",9993,9991,2,2
848,1,"2011/2012",2,"2011-08-07T00:00:00.000Z",9997,8342,3,3
849,1,"2011/2012",2,"2011-08-06T00:00:00.000Z",10000,1773,2,1
850,1,"2011/2012",2,"2011-08-06T00:00:00.000Z",9989,9987,0,0
851,1,"2011/2012",2,"2011-08-07T00:00:00.000Z",10001,8571,0,0
852,1,"2011/2012",2,"2011-08-06T00:00:00.000Z",9984,9998,1,1
853,1,"2011/2012",20,"2012-01-15T00:00:00.000Z",8635,8342,3,0
854,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",9985,9993,6,1
855,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",9997,8571,0,0
856,1,"2011/2012",20,"2012-01-15T00:00:00.000Z",10000,9987,1,1
857,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",1773,9994,1,1
858,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",8203,9998,4,1
859,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",9989,9991,2,1
860,1,"2011/2012",20,"2012-01-14T00:00:00.000Z",9984,10001,3,1
861,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",8342,8203,0,1
862,1,"2011/2012",21,"2012-01-20T00:00:00.000Z",9987,9997,2,1
863,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",9991,10000,0,0
864,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",9993,9984,4,0
865,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",9994,9989,2,0
866,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",8571,8635,0,1
867,1,"2011/2012",21,"2012-01-21T00:00:00.000Z",9998,1773,2,2
868,1,"2011/2012",21,"2012-01-22T00:00:00.000Z",10001,9985,0,0
869,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",8342,9994,3,0
870,1,"2011/2012",22,"2012-01-24T00:00:00.000Z",8635,9991,3,1
871,1,"2011/2012",22,"2012-01-26T00:00:00.000Z",9985,9998,2,1
872,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",9997,10001,0,3
873,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",1773,8571,0,2
874,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",8203,9987,3,2
875,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",9989,9984,2,2
876,1,"2011/2012",22,"2012-01-25T00:00:00.000Z",10000,9993,1,0
877,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",9987,1773,5,0
878,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",9991,9997,6,0
879,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",9993,8635,0,0
880,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",9994,8203,3,2
881,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",8571,10000,0,0
882,1,"2011/2012",23,"2012-01-29T00:00:00.000Z",9998,8342,0,2
883,1,"2011/2012",23,"2012-01-28T00:00:00.000Z",10001,9989,0,2
884,1,"2011/2012",23,"2012-01-29T00:00:00.000Z",9984,9985,0,1
885,1,"2011/2012",24,"2012-02-05T00:00:00.000Z",8342,9993,5,1
886,1,"2011/2012",24,"2012-02-05T00:00:00.000Z",8635,9987,4,2
887,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",9997,9984,0,1
888,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",10000,10001,3,1
889,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",9994,9998,3,1
890,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",8203,8571,0,0
891,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",9989,9985,0,2
892,1,"2011/2012",24,"2012-02-04T00:00:00.000Z",1773,9991,2,3
893,1,"2011/2012",25,"2012-02-12T00:00:00.000Z",9985,8635,1,2
894,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",9987,9994,0,1
895,1,"2011/2012",25,"2012-02-12T00:00:00.000Z",9991,8342,1,3
896,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",9993,9997,3,2
